step,score
9175,-201.37730308552713
19149,-168.28218939540733
31079,-124.0291420935519
61561,-43.36053054423124
106849,20.576337332464586
154351,54.767491877241454
194264,68.67769925832773
216609,88.34182610898435
243212,142.8373107066308
268730,170.21639927080588
293171,137.06124088702708
320674,192.2600676309655
347423,198.32765273289624
371559,202.1513943664909
395297,191.70190637860472
418575,212.5048168811865
441837,221.9420450793732
467036,213.80592838673462
491443,210.0965983208127
516359,210.41751463863307
540457,214.44884917695978
565485,215.29702984520966
590588,207.22465516994086
615982,218.311266730249
640921,221.59816867102592
669023,193.5367156014777
695849,202.37740640375526
722054,215.17245053687216
748268,203.98546246948857
774339,209.87524694785625
799530,206.23738336444768
825642,208.43662563748487
852976,190.03126158413878
878853,201.64234477319806
907032,199.46263955886624
932736,217.47090122534001
958429,213.49751041683547
982590,222.86744851743265
1006830,215.7508836502957
